Year,Station,Week,Month,Date,Season,SurfaceSalinity,BottomSalinity,BottomDO,SurfaceTemp,BottomTemp,Secchi
1987,6,20,may,13/05/1987,spring,20,20.5,8.7,13.5,13.9,2.7432
1987,3,23,june,02/06/1987,spring,23,22.5,8.3,19,18,1.9812
1987,3,24,june,09/06/1987,spring,23,21.5,7.2,21,19,2.286
1987,9,25,june,16/06/1987,spring,25,24,7.7,23,23,2.4384
1987,2,26,june,25/06/1987,spring,26.7,25.1,7.1,23.5,22,1.6764
1987,1,27,july,02/07/1987,summer,25,25,7,21.5,21,1.524
1987,2,27,july,02/07/1987,summer,25,25,6.7,21.5,21.5,1.6764
1987,6,27,july,02/07/1987,summer,24.5,24.5,6.7,21.5,21,1.9812
1987,6,28,july,06/07/1987,summer,25.5,25.5,7.2,22.5,22,1.524
1987,2,29,july,13/07/1987,summer,27,27,6.6,23,22,1.0668
1987,8,29,july,13/07/1987,summer,26.5,26,6.5,23,23.5,1.0668
1987,7,30,july,20/07/1987,summer,26.5,26,7,23,23,0.9144
1987,2,31,july,28/07/1987,summer,26,25,6,25,24,1.0668
1987,4,31,july,28/07/1987,summer,21.5,25.5,5.8,24.5,24,1.0668
1987,5,31,july,28/07/1987,summer,26,26,6.5,26,25,1.2192
1987,9,32,august,04/08/1987,summer,26,25.5,5.5,27.5,25,0.9144
1987,1,33,august,10/08/1987,summer,28,28,6.9,23,23,1.2192
1987,7,33,august,10/08/1987,summer,27.5,28,6.5,24,23.5,0.9144
1987,3,34,august,17/08/1987,summer,28,27.5,5.8,25,24,0.9144
1987,7,34,august,17/08/1987,summer,27.5,27,6.6,25.5,25.5,1.0668
1987,6,35,august,24/08/1987,summer,26.5,27,6.5,23.5,23,1.0668
1987,6,36,august,31/08/1987,fall,27,26.5,7,21,21,1.0668
1987,3,37,september,08/09/1987,fall,26.5,26.5,7.4,22,22,0.9144
1987,7,37,september,08/09/1987,fall,26.5,26.5,7.6,22,22,0.9144
1987,2,38,september,14/09/1987,fall,26,27,6.6,22,22,0.9144
1987,8,39,september,21/09/1987,fall,25,25,7.6,19,19,1.0668
1987,1,40,september,28/09/1987,fall,25,25.5,7.9,20,19.5,0.762
1987,2,40,september,28/09/1987,fall,26,26,8.1,19,19,0.9144
1987,3,40,september,28/09/1987,fall,26,26,7.6,19,18.5,0.762
1987,6,40,september,28/09/1987,fall,26,25.5,7.7,20,20,0.9144
1987,8,40,september,28/09/1987,fall,25,25,7.9,20,20,1.0668
1987,9,40,september,28/09/1987,fall,26,26,7.8,18.5,18.5,0.762
1987,5,41,october,06/10/1987,fall,25.5,25.5,7.6,16.5,16.5,1.2192
1987,1,42,october,14/10/1987,fall,25,25,0,14,14,1.2192
1987,9,42,october,14/10/1987,fall,25,24.5,7.6,14,13.5,1.2192
1987,1,43,october,20/10/1987,fall,24.5,24,8.2,15,15,1.0668
1987,6,43,october,20/10/1987,fall,24,24,8.5,15,15,1.2192
1988,5,19,may,03/05/1988,spring,27,27,9.1,11,10.5,1.8288
1988,9,19,may,03/05/1988,spring,27,27,9,11,11,1.9812
1988,1,20,may,09/05/1988,spring,0,0,8.8,12.5,12.5,2.4384
1988,2,21,may,17/05/1988,spring,26,26,8.7,16,16,2.286
1988,8,21,may,17/05/1988,spring,26,26,8.7,15,15,2.7432
1988,7,22,may,27/05/1988,spring,26,25.5,0,17,16.5,3.048
1988,8,22,may,27/05/1988,spring,26,26,8.9,17,16,3.6576
1988,6,24,june,10/06/1988,spring,26,26,7.9,17.5,17,1.8288
1988,7,24,june,06/06/1988,spring,25.5,26,9.1,18,18,1.6764
1988,8,24,june,06/06/1988,spring,26,26,10.2,18,18,1.6764
1988,9,24,june,06/06/1988,spring,27,26,7.7,20,22,0.9144
1988,4,25,june,13/06/1988,spring,26.5,26,7.7,18,18,2.5908
