Year,Station,StartDepth,EndDepth
1987,6,6.4008,6.096
1987,3,8.5344,5.1816
1987,3,9.7536,11.8872
1987,9,5.4864,4.8768
1987,2,4.572,5.1816
1987,1,3.9624,2.7432
1987,2,2.7432,3.9624
1987,6,3.6576,5.4864
1987,6,5.4864,4.572
1987,2,2.1336,7.3152
1987,8,3.6576,4.2672
1987,7,3.048,3.9624
1987,2,2.7432,6.7056
1987,4,7.9248,7.62
1987,5,4.8768,5.7912
1987,9,3.9624,5.7912
1987,1,3.3528,3.9624
1987,7,4.2672,7.3152
1987,3,10.9728,5.7912
1987,7,3.9624,3.9624
1987,6,6.096,7.9248
1987,6,7.62,5.4864
1987,3,10.0584,9.7536
1987,7,4.572,3.6576
1987,2,1.8288,6.7056
1987,8,3.9624,2.1336
1987,1,3.6576,3.048
1987,2,6.4008,2.4384
1987,3,8.8392,7.62
1987,6,5.7912,5.4864
1987,8,7.9248,7.3152
1987,9,6.096,0
1987,5,5.4864,4.572
1987,1,2.7432,3.3528
1987,9,5.4864,6.4008
1987,1,3.9624,9.7536
1987,6,7.62,4.572
1988,5,5.1816,4.8768
1988,9,5.4864,4.2672
1988,1,4.572,3.9624
1988,2,2.4384,3.3528
1988,8,3.9624,2.1336
1988,7,3.048,2.7432
1988,8,3.048,2.4384
1988,6,7.62,5.4864
1988,7,3.048,3.048
1988,8,3.048,2.7432
1988,9,5.7912,4.8768
1988,4,8.2296,7.3152
1988,5,7.0104,6.096
1988,2,4.2672,3.048
1988,3,7.62,6.4008
1988,4,14.3256,6.096
1988,4,8.5344,3.6576
1988,4,7.62,3.048
1988,6,0,4.572
1988,3,5.7912,4.572
1988,8,4.2672,2.4384
1988,2,5.1816,5.1816
1988,7,3.3528,3.3528
1988,8,5.4864,7.62
1988,8,5.4864,3.048
1988,9,4.572,3.048
1988,1,4.572,3.3528
1988,3,10.3632,6.096
1988,9,3.3528,5.1816
1988,1,3.048,3.9624
1988,6,6.7056,8.8392
1988,1,4.572,3.9624
1988,5,4.572,6.096
1988,1,4.8768,5.4864
1988,7,3.3528,3.048
1988,4,3.3528,3.6576
1988,5,5.1816,5.7912
1988,6,7.3152,7.3152
1988,8,4.572,2.4384
1988,1,2.4384,6.096
1988,6,6.4008,9.7536
1988,8,3.6576,1.524
1988,4,6.096,6.4008
1988,5,5.1816,4.2672
1988,2,5.1816,4.572
1988,6,7.9248,9.7536
1989,5,3.048,3.3528
1989,9,4.572,4.2672
1989,2,6.4008,3.048
1989,3,7.3152,6.096
1989,4,11.5824,5.4864
1989,4,8.2296,3.6576
1989,6,7.3152,7.9248
1989,8,4.2672,1.8288
1989,5,4.8768,4.572
1989,7,3.6576,3.048
1989,2,6.7056,3.9624
1989,9,6.096,3.048
1989,7,3.6576,3.6576
1989,6,7.62,8.5344
1989,3,9.144,4.572
1989,4,4.8768,5.7912
1989,6,7.9248,7.3152
1989,8,3.9624,1.8288
1989,1,2.8956,2.7432
1989,8,3.6576,2.8956
1989,7,2.4384,3.9624
1989,1,3.6576,3.048
1989,2,5.1816,1.8288
1989,5,4.8768,3.048
1989,4,4.2672,5.7912
1989,5,5.1816,3.048
1989,1,3.048,3.6576
1989,8,3.6576,1.8288
1989,1,3.048,6.7056
1989,8,4.2672,1.8288
1989,2,5.4864,4.572
1989,4,2.7432,5.4864
1989,5,5.4864,5.1816
1989,1,3.6576,0
1989,9,6.096,6.096
1989,2,5.7912,7.62
1989,4,3.3528,4.572
1989,7,3.6576,4.8768
1989,1,4.572,7.3152
1989,4,5.7912,7.0104
1989,6,4.572,6.096
1989,7,3.048,3.6576
1989,9,5.7912,6.096
1989,3,6.4008,6.096
1989,4,2.7432,6.096
1989,6,7.62,5.1816
1989,9,6.4008,6.7056
1989,6,5.1816,5.4864
1989,8,4.572,1.8288
1989,9,6.096,6.4008
1989,3,5.1816,1.8288
1989,5,4.572,4.572
1989,6,5.7912,3.9624
1989,2,4.8768,3.048
1989,3,5.4864,1.8288
1989,5,5.4864,3.9624
1989,8,3.6576,2.1336
1989,1,3.6576,7.62
1990,1,3.048,3.048
1990,1,3.048,3.048
1990,7,3.6576,4.2672
1990,3,8.5344,15.5448
1990,8,3.048,1.8288
1990,9,5.4864,4.2672
1990,3,3.6576,8.8392
1990,7,3.3528,3.9624
1990,9,6.096,6.4008
1990,3,6.4008,7.3152
1990,5,4.572,2.8956
1990,1,2.4384,5.4864
1990,2,3.6576,4.8768
1990,3,9.144,8.2296
1990,7,2.8956,2.286
1990,8,2.7432,1.524
1990,9,5.1816,4.8768
1990,5,7.3152,4.8768
1990,4,4.8768,5.7912
1990,3,7.3152,6.7056
1990,4,3.048,6.096
1990,4,4.572,4.8768
1990,6,5.4864,4.8768
1990,8,3.048,1.524
1990,4,4.8768,4.8768
1990,1,4.572,2.7432
1990,6,7.0104,5.7912
1990,6,6.4008,6.4008
1990,6,5.1816,5.4864
1990,2,5.1816,0
1990,4,8.2296,3.6576
1990,1,3.9624,3.6576
1990,6,3.3528,4.2672
