"","eigenvalue","variance.percent","cumulative.variance.percent"
"Dim.1",118831.833532607,88.1126118355102,88.1126118355102
"Dim.2",14809.665871693,10.9812185975235,99.0938304330337
"Dim.3",336.449114522307,0.249473641439442,99.3433040744732
"Dim.4",219.878546728245,0.163037735452476,99.5063418099256
"Dim.5",162.605656332401,0.120570462078613,99.6269122720042
"Dim.6",142.999836408587,0.106032943390996,99.7329452153952
"Dim.7",127.246458876076,0.09435197206912,99.8272971874644
"Dim.8",103.130935695489,0.0764705536810225,99.9037677411454
"Dim.9",45.7962043940235,0.0339574258963447,99.9377251670417
"Dim.10",31.054207089238,0.0230263828619858,99.9607515499037
"Dim.11",25.6863642455499,0.0190461812710533,99.9797977311748
"Dim.12",13.2577528916267,0.00983049069953521,99.9896282218743
"Dim.13",3.26042368136937,0.00241757143448413,99.9920457933088
"Dim.14",2.28582761953432,0.00169491823676733,99.9937407115456
"Dim.15",1.26268670601457,0.000936269518776647,99.9946769810643
"Dim.16",1.07513019716645,0.000797198249992231,99.9954741793143
"Dim.17",1.01060986255698,0.000749357069477408,99.9962235363838
"Dim.18",0.864201221224999,0.000640796531450283,99.9968643329153
"Dim.19",0.831417134548462,0.000616487460237318,99.9974808203755
"Dim.20",0.610619025218996,0.000452767878345793,99.9979335882538
"Dim.21",0.564239459811764,0.000418377896113416,99.99835196615
"Dim.22",0.433551797389261,0.00032147430615438,99.9986734404561
"Dim.23",0.361308998774521,0.000267906996090912,99.9989413474522
"Dim.24",0.337774032936532,0.00025045605514523,99.9991918035073
"Dim.25",0.241622233728584,0.000179160461119315,99.9993709639685
"Dim.26",0.224035151729572,0.000166119816340633,99.9995370837848
"Dim.27",0.168830439193071,0.000125186076090931,99.9996622698609
"Dim.28",0.151253267596235,0.00011215277977599,99.9997744226407
"Dim.29",0.100039600737056,7.41783598374323e-05,99.9998486010005
"Dim.30",0.064229995673944,4.76258971083012e-05,99.9998962268976
"Dim.31",0.0358094952933006,2.65523813359181e-05,99.9999227792789
"Dim.32",0.0240035855031608,1.77984177238175e-05,99.9999405776967
"Dim.33",0.0203717947329619,1.51054813204209e-05,99.999955683178
"Dim.34",0.0144672253636465,1.07273023979222e-05,99.9999664104804
"Dim.35",0.0141756326259172,1.05110893096461e-05,99.9999769215697
"Dim.36",0.0126424778309215,9.37427041760963e-06,99.9999862958401
"Dim.37",0.0112234641369562,8.32208600633964e-06,99.9999946179261
"Dim.38",0.00725845816100709,5.38207387239897e-06,100
"Dim.39",1.13885490240054e-27,8.4444947931104e-31,100
"Dim.40",1.13885490240054e-27,8.4444947931104e-31,100
"Dim.41",1.13885490240054e-27,8.4444947931104e-31,100
