"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Dim.6","Dim.7","Dim.8","Dim.9","Dim.10","Dim.11","Dim.12","Dim.13","Dim.14","Dim.15","Dim.16","Dim.17","Dim.18","Dim.19","Dim.20","Dim.21","Dim.22","Dim.23","Dim.24","Dim.25","Dim.26","Dim.27","Dim.28","Dim.29","Dim.30","Dim.31","Dim.32","Dim.33","Dim.34","Dim.35","Dim.36","Dim.37","Dim.38","Dim.39","Dim.40","Dim.41"
"anchovy.y",256.703196278712,12.2886794061502,0.96109643373209,0.111560943917808,0.00426741712598349,0.00158563236228424,-0.0495285053749369,-0.012427259635866,0.00946231710491485,-0.0021752154087467,0.00306770150667515,-0.000415034298890638,0.00192518056814373,-0.000704461081361443,0.000423114259144139,-0.000171660763990597,0.000359026759275177,8.09230896866165e-06,0.000172262213094393,-0.000446151930259569,-2.15343783870158e-06,-0.000288290403090075,-0.000148742868850741,-0.000119583889334269,4.45062611300536e-05,0.0002124355498359,-6.49221987533006e-05,-1.77407054200228e-05,-1.79910390372082e-05,-6.91704467693143e-05,-9.24484500145285e-06,-2.2061720113529e-05,-8.92689516110088e-06,-5.12609019221401e-05,7.33659597505938e-05,1.79923967461633e-06,4.23206989169206e-06,3.18022516780446e-06,1.2185872887518e-07,0,0
"bluecrab.y",0.105910236703658,-0.105562755506976,0.0660557455968825,0.00654727987055443,0.00786319737146036,-0.0702228279227118,-0.018882215583775,0.0613913338559022,-0.250963813108414,-0.0131183467952054,0.116098038363864,0.105118349458679,-0.0371317131285385,-0.171098293242312,0.0106615636279186,-0.0878190426541801,-0.31457905586151,-0.369078286585087,0.445602852277322,0.126948422141246,-0.267972383870431,0.138881937069831,0.371537676551362,-0.0393428846903963,0.0186024826929126,-0.631368910137193,-0.0464421130682642,-0.0832651440128779,0.0129247341777477,-0.0260149906255781,-0.00334923270490523,0.00148563638799013,-0.00100623761707988,-0.00841612403518727,-0.00274627807426324,-0.00239117720612092,-0.00123688219827939,-0.000902244639208437,-6.49954056061061e-06,-2.33869570019735e-29,0
"bluefish.y",0.112199866696533,-0.00349967176098644,-0.0195172274008817,0.00320555053894398,-0.000796089107293354,-0.0111825587772811,-0.00997477453163733,0.000294569982357027,-0.0144022182703596,-0.0190824806402126,0.0180113784690196,0.00443253908301092,0.00431373077226562,-0.0224073667446259,-0.00399134664787609,-0.017891890902155,-0.00038541907201565,-0.0133892627662135,0.0163957843925887,-0.0149662418336493,-0.00119852187769739,0.0131701830303209,-0.00237216960581723,0.00361189073630922,-0.00391390536121372,-0.0133657921620078,0.00158097576988231,0.0549780080639031,-0.00612303900493259,0.0178487330202146,0.00109572074417964,-0.00450850182245052,0.0220724545481498,0.128010715907347,-0.171684652702161,-0.00157651270196306,-0.0111583238860807,-0.00929664594489906,-5.88501521861944e-05,-1.41397807529758e-29,0
"butter.y",2.13638433008247,-6.23474835224118,-2.65374490427834,-2.15722065207959,-0.222319404293089,12.6474030949097,-0.0103393550269634,0.0275042494167051,-0.0101855860945488,0.00958003462709754,-0.00413547552384624,0.013438665839434,0.0269395039409352,-0.00907297044473127,-0.00145482105432378,0.00528556530271301,-0.0219905982981172,0.00298126369995172,-6.50987040005593e-05,0.00633101893344797,-0.00623635790482417,-0.00230007409481535,0.00408099881779195,-0.000738440352151998,-0.00599610357941382,-0.000511908533998988,0.000846602196623191,0.00159146781442665,0.000204911856360309,-0.00102112726726411,0.000122518282818572,0.000133907660376851,-0.000154090629587199,-7.09292309047509e-05,-0.000193025225185695,7.23250249754011e-05,1.58003653888392e-06,-4.09479515820591e-05,-2.88836818593308e-08,-8.94297005122257e-31,0
"calico.y",-1.92146478790466,-3.16479563049358,2.06606976417324,16.0181859635441,0.748746268393668,1.79467458619585,0.0555403289491996,0.0395173685175737,-0.0270677702948355,0.11383725351086,-0.0367378582426259,0.086731186974977,-0.0926337528673982,-0.00375544665746721,-0.00197621506654028,-0.00644634476550466,-0.00962900064333581,0.0119176073382005,0.00120188142335085,-0.00598915262761923,-0.00491280986107875,-0.00317259020151029,0.000790830534693154,0.00492267456135664,-0.00762562847889125,0.00151064937820062,0.000170598396017099,0.000753925426851276,0.000555034236297467,0.000374572106207265,-0.000312691920920581,-0.000502971237271653,0.000762142985365277,-0.000128296697363419,-8.67426474643908e-06,-0.000163985649337142,-0.00013505278487726,-3.60625896236731e-05,8.74047922743913e-08,1.80111917366303e-30,0
"clearnosesk.y",-0.00930419760527338,-0.00118847715996731,0.00599424303250787,0.0159716353850189,0.00274163556016698,0.000232186055967829,0.00727196298604476,-0.0131005965880716,0.00923427849390698,-0.011746315442093,0.00739967350594617,0.00916297539722784,0.00586042726921287,-0.000776771456690723,0.000940102287218058,0.00344067673338814,0.00729185899835095,-0.00971638841644415,0.0032377405485693,-0.00906282053084382,0.00686867146419598,0.000860271441442983,-0.0144409373067361,-0.00156761588937105,-0.00167957062525181,-0.0162995040301058,0.00107435553695626,-0.0160904125640983,-0.00484432230311068,-0.000105551977105685,-0.0208136979613209,-0.0002819287661572,0.0225994902678969,-0.0068552703816147,-0.00305247682720367,0.166171966570632,-0.0111073917957647,-0.000517083363684082,0.000122614581397144,4.31846633385178e-30,0
"cunner.y",-0.125820941126522,0.203521428315561,0.0907300067927585,0.0273614002620118,-0.0021650872075092,0.0222547574341109,-0.1177497209004,0.194028250582147,0.324403621325073,0.257826960257438,0.497997451831831,-0.29586004051481,-0.0730784577304494,0.236807421958838,-1.87886573030104,0.00874499870089122,0.0588165056920508,-0.0126161847398829,0.0295349409492137,0.00103572982547385,-0.0548835141823079,-0.028268302557553,-0.0165414004476364,0.00636147034949006,0.0173867763407259,-0.0172410795777224,0.0218928915031822,-0.00180222592240262,0.000697767762192859,0.00285529135119819,-0.00391707550127309,0.00905778117040053,-0.00161483447855258,0.000389673057520048,0.000332151187415783,-7.971068547344e-06,-0.000392135116608591,-4.87867953427648e-05,-5.72540017175123e-05,-1.0662678692637e-30,0
"dog.y",0.0390659728844397,-0.0592134178916634,0.000209069590510416,0.0458972579820599,0.00912930422477132,0.0218722376363626,0.0880765602398732,-0.033052278240863,-0.0771931681147155,-0.0763517862679493,0.0208515171700004,0.104579346734557,0.174260325812716,0.00984397316649148,-0.0171814541502036,0.0340948796346543,-0.0302170939089501,0.0184681083732943,-0.0093708170310441,0.0343452189268638,0.0369984023514309,0.014045282875254,-0.0284696525131484,0.0365618329515153,0.0218318020694752,0.0222463034228026,0.0561854047749751,-0.278756388382809,-0.420865875376083,0.159977074159762,-0.0162438111176645,-0.017492490056752,0.0143674422750378,-0.0101221133854052,-0.00917315783281978,-0.00499493395900617,-0.00218578638162552,-0.00056305666839166,-1.56836595403127e-05,1.97737249577934e-30,0
"fluke.y",0.264833420689502,-0.69151413402502,-0.267977599345439,0.00238575004190394,-0.0834551626870137,-0.0559955452844447,0.281545360706324,-0.0804129705461675,-0.423085054100183,-0.325468430305287,0.20316892928651,-0.0164818097536374,0.171621642077004,-0.421041812505493,-0.074083164110573,-1.21047999948357,-0.519941467629079,-0.152869837879274,0.115325485883301,-0.41111774082159,-0.0962098248508845,-0.213635204834479,-0.378065259776196,-0.0557813673080112,-0.158928242902111,0.049912867795866,0.010745043317468,-0.00393189045544486,-0.00208770142667157,-0.00186058947668057,-0.00461160032569245,-0.00384367556902911,0.00226314453775222,-0.000232041757530286,0.00313782685319613,-0.000793793536498885,0.00153390935987738,0.0017143912283027,7.76195301150928e-06,-2.77080275494832e-29,0
"herring.y",-0.0539062674581184,0.0554642982612325,0.0210862267519949,-0.086801766915815,0.00761090229966472,-0.00350342792979695,-0.044162543550878,0.102451319168658,0.03083218701746,0.0118840715929413,-0.0525681216183462,-0.00921116952689504,0.00151069898174059,0.00779296154276695,0.045704675635536,0.0394540863677882,0.120678039360151,0.83881082660557,0.917774401280721,-0.0112346234862022,0.0725222418162465,-0.178768264445587,-0.113372574285306,-0.0846158306178589,0.0646957506214804,-0.0101245619466419,0.0523482823553182,0.00957228565724484,-0.00294221815091498,-0.00691155487889622,-0.0106687033590593,0.0485712902904867,0.0216140481428306,-0.00422254497279579,-0.000190453010515579,-0.00123703441553949,-0.00103078478173412,-0.000114146264417332,-0.000201888390050543,8.62935812720198e-30,0
"hog.y",0.074793911769706,-0.0101145516290886,-0.0316743132365604,-0.00769321964936706,0.00660482048220752,-0.0221617754041086,0.0515014297668033,-0.0227545322324986,-0.104223662154372,-0.0724744440045545,0.0684612703189756,0.0279894463572295,-0.035162808523283,-0.0395894721100955,-0.0130546734726633,-0.0203937321942627,-0.132848176666099,-0.0905740089886179,0.114890658515669,0.035395177729137,0.0581037197274111,0.0913439501816317,0.0581325704811449,0.0849071917011295,0.0387438789537312,-0.0654876247221279,0.01178036084308,0.435565293562855,-0.122884122780045,0.269184452361412,-0.01574438765848,-0.0154192037672589,-0.0042807308347653,-0.0177345226163382,0.0153231934784361,0.00297459293459765,0.00117691648952758,-3.35655599302326e-06,3.18032454449494e-05,3.3831125611713e-29,0
