"","id","StartDepth","EndDepth","SurfaceSalinity","BottomSalinity","SurfaceDO","BottomDO","SurfaceTemp","BottomTemp","Secchi","Year","Week","Month","Date","Station","Season","StartLat","EndLat","StartLong","EndLong"
"1",1995241,2.7432,4.572,29.8,29.8,6.7,6.7,18.4,18.1,2.5908,1995,24,"june","14/06/1995",1,"spring",NA,NA,NA,NA
"2",1995282,4.572,7.3152,30.3,30.3,7.69,6.94,23,22.3,0.9144,1995,28,"july","11/07/1995",2,"summer",NA,NA,NA,NA
"3",1995233,1.49352,6.7056,29,30.4,8.37,8.76,20.6,19.9,1.6764,1995,23,"june","06/06/1995",3,"spring",NA,NA,NA,NA
"4",1995224,2.22504,6.4008,30.2,29.9,8.11,8.3,17.6,17.5,1.8288,1995,22,"june","01/06/1995",4,"spring",NA,NA,NA,NA
"5",1995205,6.096,4.2672,29.4,29.6,8.24,8.49,13.5,13.2,3.5052,1995,20,"may","16/05/1995",5,"spring",NA,NA,NA,NA
"6",1995206,7.62,7.3152,29.5,29.4,8.63,8.44,13.6,13.2,3.048,1995,20,"may","16/05/1995",6,"spring",NA,NA,NA,NA
"7",1995337,4.2672,0,32.2,32.5,6.62,6.61,25.39,25.32,1.3716,1995,33,"august","15/08/1995",7,"summer",NA,NA,NA,NA
"8",1995228,6.096,1.9812,29.8,29.7,8.4,8.37,18.3,17.7,1.6764,1995,22,"june","01/06/1995",8,"spring",NA,NA,NA,NA
"9",1995209,5.7912,7.0104,29.4,29.4,8.5,8.11,14.2,13.3,2.7432,1995,20,"may","16/05/1995",9,"spring",NA,NA,NA,NA
"10",19952010,5.1816,5.4864,29.4,29.4,8.45,8.67,14.5,13.4,3.048,1995,20,"may","16/05/1995",10,"spring",NA,NA,NA,NA
"11",19953111,3.6576,3.048,31.8,31.9,6.7,6.5,27.3,27.1,1.524,1995,31,"august","01/08/1995",11,"summer",NA,NA,NA,NA
"12",19952312,4.8768,2.5908,29.6,29.6,7.64,7.67,20,19.8,2.4384,1995,23,"june","06/06/1995",12,"spring",NA,NA,NA,NA
"13",19952413,6.4008,5.1816,29.9,29.5,6.7,6.6,19.1,19.1,2.286,1995,24,"june","14/06/1995",13,"spring",NA,NA,NA,NA
"14",19952114,9.144,5.4864,29.3,29.5,7.9,8.1,15.6,15,3.048,1995,21,"may","22/05/1995",14,"spring",NA,NA,NA,NA
"15",19952315,8.5344,6.4008,29.5,29.8,7.49,6.57,20.1,19.3,2.4384,1995,23,"june","06/06/1995",15,"spring",NA,NA,NA,NA
"16",19952216,3.6576,3.048,28.4,28.6,8.3,8,19,17.8,1.2192,1995,22,"may","31/05/1995",16,"spring",NA,NA,NA,NA
"17",19952717,5.7912,6.4008,29.9,30,7.9,5.7,22.5,21.8,0.762,1995,27,"july","06/07/1995",17,"summer",NA,NA,NA,NA
"18",19952618,7.0104,7.3152,29.8,30,7.82,7.48,21,20.7,1.524,1995,26,"june","28/06/1995",18,"spring",NA,NA,NA,NA
"19",19952019,3.6576,9.144,29.4,29.3,8.48,8.77,14.5,13.7,3.6576,1995,20,"may","16/05/1995",19,"spring",NA,NA,NA,NA
"20",19952120,5.7912,10.0584,29.6,29.8,8.05,8.22,15.5,15.2,2.7432,1995,21,"may","22/05/1995",20,"spring",NA,NA,NA,NA
"21",19952221,11.8872,8.5344,29.7,29.6,8.23,8.28,18.4,17.9,1.8288,1995,22,"june","01/06/1995",21,"spring",NA,NA,NA,NA
"22",19952422,6.4008,5.1816,29.5,29.3,6.83,6.3,19.1,18.8,2.4384,1995,24,"june","14/06/1995",22,"spring",NA,NA,NA,NA
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995,NA,NA,NA,23,NA,NA,NA,NA,NA
"24",19952024,7.0104,7.62,29.5,29.4,8.6,8.8,14.7,13.2,3.3528,1995,20,"may","16/05/1995",24,"spring",NA,NA,NA,NA
"25",19952325,1.8288,1.43256,29.1,29.1,7.88,7.9,21.3,20.8,1.9812,1995,23,"june","05/06/1995",25,"spring",NA,NA,NA,NA
"26",19952726,1.8288,2.4384,29.4,29.3,7.35,7.4,24.5,24.5,0.762,1995,27,"july","07/07/1995",26,"summer",NA,NA,NA,NA
"27",19952427,3.9624,6.096,29.3,29.5,7,6.4,21.1,20.7,1.6764,1995,24,"june","12/06/1995",27,"spring",NA,NA,NA,NA
"28",19952028,2.4384,6.7056,28.9,29,8.35,8.52,14.5,14,3.2004,1995,20,"may","16/05/1995",28,"spring",NA,NA,NA,NA
"29",19952229,7.0104,6.096,29.6,29.6,8.1,7.51,18.1,17.4,1.524,1995,22,"june","01/06/1995",29,"spring",NA,NA,NA,NA
"30",19952130,8.8392,8.5344,29.4,29.2,8.08,8.07,15.6,15.2,2.8956,1995,21,"may","22/05/1995",30,"spring",NA,NA,NA,NA
"31",19952531,8.2296,12.8016,29.5,29.7,7.4,6.8,21.4,20.9,1.9812,1995,25,"june","21/06/1995",31,"spring",NA,NA,NA,NA
"32",19952032,5.4864,9.144,28.7,28.9,8.48,8.55,13.6,13.4,3.2004,1995,20,"may","16/05/1995",32,"spring",NA,NA,NA,NA
"33",19952133,3.9624,1.2192,28.6,28.8,8.4,8.47,17.5,17.5,1.3716,1995,21,"may","24/05/1995",33,"spring",NA,NA,NA,NA
"34",19952634,2.8956,1.3716,29.5,29.5,8.89,8.8,22.1,21.2,1.2192,1995,26,"june","29/06/1995",34,"spring",NA,NA,NA,NA
"35",19952035,3.3528,2.1336,28.9,28.9,8.34,8.44,14.5,14.5,2.5908,1995,20,"may","17/05/1995",35,"spring",NA,NA,NA,NA
"36",19952536,2.80416,5.7912,29.1,29.1,7.43,7.52,21.9,21.8,1.6764,1995,25,"june","20/06/1995",36,"spring",NA,NA,NA,NA
"37",19952137,1.8288,6.096,29.3,29.1,8,8.01,16.1,16.1,2.1336,1995,21,"may","22/05/1995",37,"spring",NA,NA,NA,NA
"38",19952438,8.2296,0,29.3,29.5,6.4,6.3,20.8,20.6,1.8288,1995,24,"june","12/06/1995",38,"spring",NA,NA,NA,NA
"39",19953039,9.144,10.0584,0,0,0,0,26,0,1.0668,1995,30,"july","25/07/1995",39,"summer",NA,NA,NA,NA
"40",19952240,7.9248,7.62,29.3,29.3,8.15,7.7,19.1,18.3,1.6764,1995,22,"june","01/06/1995",40,"spring",NA,NA,NA,NA
"41",19952041,3.6576,1.524,29.4,29.5,8.51,8.75,14,13.7,3.3528,1995,20,"may","16/05/1995",41,"spring",NA,NA,NA,NA
"42",19952642,1.524,2.286,29.5,29.4,9,9.4,21.2,21.1,1.0668,1995,26,"june","29/06/1995",42,"spring",NA,NA,NA,NA
"43",19952043,5.1816,5.1816,28.8,28.7,8.4,8.44,14.4,14.4,2.286,1995,20,"may","17/05/1995",43,"spring",NA,NA,NA,NA
"44",19952044,6.4008,4.572,28.9,28.9,8.5,8.4,14.2,14.2,1.524,1995,20,"may","17/05/1995",44,"spring",NA,NA,NA,NA
"45",19952145,5.1816,4.572,28.9,28.4,8.11,8.13,16.6,16.6,1.524,1995,21,"may","24/05/1995",45,"spring",NA,NA,NA,NA
"46",19953046,3.9624,3.6576,31,30.9,5.04,4.98,26.9,26.9,0.9144,1995,30,"july","26/07/1995",46,"summer",NA,NA,NA,NA
"47",19952647,2.71272,0,29.5,24.6,9.04,8.76,22,21.3,1.0668,1995,26,"june","29/06/1995",47,"spring",NA,NA,NA,NA
"48",19952248,4.2672,4.572,29.3,29.1,8.25,8.21,20,18.3,1.6764,1995,22,"may","31/05/1995",48,"spring",NA,NA,NA,NA
"49",19952149,5.1816,5.1816,29.1,29.2,8.15,8.19,16.5,15.6,2.286,1995,21,"may","22/05/1995",49,"spring",NA,NA,NA,NA
"50",19952150,1.2192,2.31648,29.1,29.1,8.38,8.48,16.8,16.9,1.524,1995,21,"may","22/05/1995",50,"spring",NA,NA,NA,NA
"51",19952551,1.2192,3.3528,29.1,29.2,7.63,7.62,21.7,21.7,1.2192,1995,25,"june","20/06/1995",51,"spring",NA,NA,NA,NA
"52",19952852,5.7912,2.4384,29.8,29.8,7.82,5.05,23.7,23.3,0.9144,1995,28,"july","12/07/1995",52,"summer",NA,NA,NA,NA
"53",19952453,6.096,5.7912,29.1,29.3,6.38,6.25,21,21,1.9812,1995,24,"june","12/06/1995",53,"spring",NA,NA,NA,NA
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995,NA,NA,NA,54,NA,NA,NA,NA,NA
"55",19952255,6.7056,7.0104,29.1,29.6,7.76,7.46,18.8,17.7,1.3716,1995,22,"may","31/05/1995",55,"spring",NA,NA,NA,NA
"56",19952156,7.0104,3.3528,29.1,29.2,8.22,8.32,16.8,16.6,1.8288,1995,21,"may","24/05/1995",56,"spring",NA,NA,NA,NA
"57",19952257,0.9144,4.572,28.8,28.8,8.28,8.1,19.8,18.1,1.524,1995,22,"may","31/05/1995",57,"spring",NA,NA,NA,NA
"58",19952458,2.7432,2.4384,29.3,29.3,6.23,6.16,19.8,19.8,2.1336,1995,24,"june","14/06/1995",58,"spring",NA,NA,NA,NA
"59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995,NA,NA,NA,59,NA,NA,NA,NA,NA
"60",19952360,2.56032,2.31648,28.9,29,8.3,6.78,21.7,20.1,1.0668,1995,23,"june","05/06/1995",60,"spring",NA,NA,NA,NA
"61",19952061,2.4384,4.2672,28.4,28.4,8.31,8.32,14.6,14.6,2.5908,1995,20,"may","17/05/1995",61,"spring",NA,NA,NA,NA
"62",19952362,4.8768,6.096,28.4,29.5,8.1,6.3,21.5,19.8,1.524,1995,23,"june","05/06/1995",62,"spring",NA,NA,NA,NA
"63",19952163,4.2672,6.096,29.4,28.7,8.09,8.2,16.5,16.5,2.1336,1995,21,"may","24/05/1995",63,"spring",NA,NA,NA,NA
"64",19952464,6.096,7.0104,29.3,29.3,6.56,5.96,21,21,2.1336,1995,24,"june","12/06/1995",64,"spring",NA,NA,NA,NA
"65",19952765,6.4008,6.4008,29.6,29.8,7.24,5.48,23.3,22.6,1.0668,1995,27,"july","07/07/1995",65,"summer",NA,NA,NA,NA
"66",19952066,7.0104,6.7056,29.1,29.1,8.38,8.33,14.2,14.1,3.3528,1995,20,"may","17/05/1995",66,"spring",NA,NA,NA,NA
"67",19952567,7.3152,7.0104,29.4,29.5,7.6,6.8,22,21.3,1.9812,1995,25,"june","20/06/1995",67,"spring",NA,NA,NA,NA
"68",19952168,5.7912,6.096,29.1,29.1,8.1,8.3,16.7,16.7,1.9812,1995,21,"may","24/05/1995",68,"spring",NA,NA,NA,NA
"69",19952069,2.4384,3.9624,28.1,28.2,8.67,8.66,15,15,2.4384,1995,20,"may","17/05/1995",69,"spring",NA,NA,NA,NA
"70",19952370,2.8956,3.6576,27.4,28.7,9.23,3.29,22.2,20.6,1.6764,1995,23,"june","05/06/1995",70,"spring",NA,NA,NA,NA
"71",19953071,2.4384,3.3528,31,31,4.5,4.2,25.8,25.7,1.2954,1995,30,"july","26/07/1995",71,"summer",NA,NA,NA,NA
"72",19952172,3.048,5.1816,29,29.5,8.24,8.32,16.5,16.4,1.8288,1995,21,"may","24/05/1995",72,"spring",NA,NA,NA,NA
"73",19953973,6.096,7.3152,30.8,30.9,7.76,7.79,17.7,17.7,1.6764,1995,39,"september","26/09/1995",73,"fall",NA,NA,NA,NA
"74",19952474,7.62,7.62,29.8,29.4,6.7,6.1,21,20.9,2.1336,1995,24,"june","12/06/1995",74,"spring",NA,NA,NA,NA
"75",19952075,2.1336,7.62,29.7,29.6,8.56,8.59,14.2,14.2,2.286,1995,20,"may","17/05/1995",75,"spring",NA,NA,NA,NA
"76",19952276,3.9624,6.096,29.2,29.1,8.14,8.44,19,18.1,1.3716,1995,22,"may","31/05/1995",76,"spring",NA,NA,NA,NA
"77",19952777,2.4384,2.286,29.8,0,7.62,7.06,23.4,22.9,0.9144,1995,27,"july","07/07/1995",77,"summer",NA,NA,NA,NA
