"","id","StartDepth","EndDepth","SurfaceSalinity","BottomSalinity","SurfaceDO","BottomDO","SurfaceTemp","BottomTemp","Secchi","Year","Week","Month","Date","Station","Season","StartLat","EndLat","StartLong","EndLong","anchovy.y","bluecrab.y","bluefish.y","butter.y","calico.y","clearnosesk.y","cunner.y","dog.y","fluke.y","herring.y","hog.y","horse.y","jack.y","king.y","littlesk.y","lizard.y","mantis.y","menhaden.y","naked.y","pipe.y","puffer.y","robin.y","sand.y","scad.y","scup.y","seabass.y","seagoby.y","silverside.y","smallfl.y","spider.y","spot.y","spothake.y","squid.y","strrobin.y","tautog.y","toad.y","tomcod.y","weak.y","window.y","winterfl.y","wintersk.y","Grand.Total"
"1",1993211,2.4384,1.2192,28.3,28.5,8.7,8.4,18,16.6,2.8956,1993,21,"may","18/05/1993",1,"spring",NA,NA,NA,NA,1,NA,NA,NA,213,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,77,NA,NA,NA,NA,1,NA,NA,NA,1,10,NA,306
"2",1993271,2.286,4.8768,28.9,29,7.5,7.5,22.4,22,2.7432,1993,27,"june","29/06/1993",1,"summer",NA,NA,NA,NA,NA,1,NA,NA,193,NA,NA,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,248
"3",1993381,2.1336,2.286,31.9,31.9,7.3,7.2,22.8,22.8,1.9812,1993,38,"september","13/09/1993",1,"fall",NA,NA,NA,NA,3,NA,NA,NA,175,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,196
"4",1993411,3.048,5.7912,30.6,30.6,7.3,7.2,16.6,16.7,3.048,1993,41,"october","06/10/1993",1,"fall",NA,NA,NA,NA,1,NA,NA,NA,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,13,NA,183
"5",1993252,4.572,0,28.4,28.4,7.7,7.6,20.6,19.9,3.2004,1993,25,"june","15/06/1993",2,"spring",NA,NA,NA,NA,NA,NA,NA,NA,226,NA,15,1,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,42,NA,NA,NA,NA,NA,NA,NA,NA,41,46,NA,376
"6",1993342,5.4864,3.048,30.8,30.8,7.9,7.9,24.3,24.3,1.8288,1993,34,"august","18/08/1993",2,"summer",NA,NA,NA,NA,114,NA,NA,NA,390,NA,NA,1,5,NA,NA,4,NA,NA,NA,NA,6,NA,NA,1,NA,NA,NA,NA,7,NA,NA,NA,1,44,1,NA,NA,4,NA,NA,NA,23,16,27,NA,644
"7",1993362,5.4864,3.3528,31,31.1,7.5,6.7,25.6,25.1,2.286,1993,36,"august","31/08/1993",2,"fall",NA,NA,NA,NA,13,2,NA,NA,375,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,45,NA,NA,1,5,NA,1,NA,1,39,69,NA,606
"8",1993283,6.096,6.7056,29,29,8,7.6,24.1,23.3,2.286,1993,28,"july","07/07/1993",3,"summer",NA,NA,NA,NA,NA,NA,NA,2,423,NA,NA,NA,1,NA,2,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,1,32,NA,NA,6,NA,NA,3,NA,NA,28,154,NA,688
"9",1993353,3.048,7.3152,31,31.1,7.2,6.5,23.9,23.6,2.4384,1993,35,"august","24/08/1993",3,"summer",NA,NA,NA,NA,1,NA,NA,NA,179,NA,NA,NA,2,NA,NA,3,NA,NA,NA,NA,10,NA,NA,NA,3,NA,NA,NA,3,NA,2,NA,NA,262,NA,NA,NA,NA,NA,2,NA,3,12,66,NA,548
"10",1993423,6.096,3.3528,30.6,30.8,8.9,8.6,14.6,14.3,3.048,1993,42,"october","14/10/1993",3,"fall",NA,NA,NA,NA,7,NA,NA,2,251,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,29,1,2,NA,NA,3,1,NA,NA,NA,NA,5,119,NA,426
