"","id","StartDepth","EndDepth","SurfaceSalinity","BottomSalinity","SurfaceDO","BottomDO","SurfaceTemp","BottomTemp","Secchi","Year","Week","Month","Date","Station","Season","StartLat","EndLat","StartLong","EndLong","anchovy.y","bluecrab.y","bluefish.y","butter.y","calico.y","clearnosesk.y","cunner.y","dog.y","fluke.y","herring.y","hog.y","horse.y","jack.y","king.y","littlesk.y","lizard.y","mantis.y","menhaden.y","naked.y","pipe.y","puffer.y","robin.y","sand.y","scad.y","scup.y","seabass.y","seagoby.y","silverside.y","smallfl.y","spider.y","spot.y","spothake.y","squid.y","strrobin.y","tautog.y","toad.y","tomcod.y","weak.y","window.y","winterfl.y","wintersk.y","Grand.Total"
"1",1992191,3.6576,7.62,29.6,29.5,8.2,8.4,12.3,12.2,3.3528,1992,19,"may","04/05/1992",1,"spring",NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,NA,NA,NA,1,NA,NA,NA,4,6,2,114
"2",1992199,5.4864,4.572,29.3,29.4,8.3,8,13.6,12.7,4.1148,1992,19,"may","04/05/1992",9,"spring",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,20,NA,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,36
"3",19921911,3.048,4.572,29.5,29.5,8.4,8.1,12.6,12.6,3.9624,1992,19,"may","04/05/1992",11,"spring",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,38
"4",19921916,3.3528,3.6576,28.8,28.9,8.34,8.1,13.98,13.51,3.3528,1992,19,"may","04/05/1992",16,"spring",NA,NA,NA,NA,1,NA,NA,NA,12,NA,NA,NA,NA,452,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,4,NA,NA,NA,3,NA,482
"5",19921932,4.8768,6.4008,29.3,29.4,8.2,8.5,12.8,12.6,3.9624,1992,19,"may","04/05/1992",32,"spring",NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,2,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,1,NA,NA,NA,7,6,1,100
"6",19921935,3.048,3.6576,28.6,29,8.5,8.4,12.8,12.9,3.6576,1992,19,"may","05/05/1992",35,"spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6
"7",19921938,7.3152,6.096,29.3,29.3,8.3,8.3,12.8,12.7,3.9624,1992,19,"may","04/05/1992",38,"spring",NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,4,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,1,NA,1,3,NA,45
"8",19921940,7.9248,7.9248,29,29.1,8.4,8.4,13.3,13.1,3.9624,1992,19,"may","04/05/1992",40,"spring",NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,1,9,NA,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,1,NA,NA,5,3,NA,70
"9",19921943,5.1816,3.6576,29,29,8.69,8.52,12.9,12.9,4.2672,1992,19,"may","05/05/1992",43,"spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,242,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,251
"10",19921949,4.572,5.7912,28.9,29,8.7,8.5,13.4,13.3,3.81,1992,19,"may","04/05/1992",49,"spring",NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,56,NA,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,18,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,101
