id,anchovy,bluecrab,bluefish,butter,calico,clearnosesk,cunner,dog,fluke,herring,hog,horse,jack,king,littlesk,lizard,mantis,menhaden,naked,pipe,puffer,robin,sand,scad,scup,seabass,seagoby,silverside,smallfl,spider,spot,spothake,squid,strrobin,tautog,toad,tomcod,weak,window,winterfl,wintersk,StartDepth,EndDepth,SurfaceSalinity,BottomSalinity,SurfaceDO,BottomDO,SurfaceTemp,BottomTemp,Secchi,Year,Week,Month,Date,Station,Season,StartLat,EndLat,StartLong,EndLong,AvgLat,AvgLong
20111918,0,0,0,0,0,0,0,0,0.043852901,0.984495185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158113883,0,0,0,0,0,0,0,0,0.062017367,0,0,8.56488,7.37616,27.44,27.51,9.85,9.72,14.25,13.73,4.8768,2011,19,may,03/05/2011,18,spring,41.13888889,41.01527778,-72.53888889,-72.63472222,41.07708333,-72.58680556
2011192,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.881917104,0,0,0,0,0,0,0.23570226,0,0,0.23570226,0,5.334,3.048,27.5,27.5,9.93,9.82,14.02,13.61,4.2672,2011,19,may,03/05/2011,2,spring,41.18083333,41.07972222,-72.48944444,-72.64805556,41.13027778,-72.56875
20111928,0,0,0,0,0,0,0,0,0.041169348,0.990634106,0,0,0,0,0,0,0,0,0,0.041169348,0,0,0,0,0,0,0,0,0,0.116444502,0,0,0,0,0,0,0.041169348,0,0,0,0,3.6576,6.52272,0,0,0,0,0,0,3.3528,2011,19,may,02/05/2011,28,spring,41.12222222,41.00194444,-72.60722222,-72.49666667,41.06208333,-72.55194444
20111929,0,0,0,0,0,0,0,0,0.035782813,0.996793836,0,0.035782813,0,0,0,0,0.035782813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035782813,0,0.035782813,0,0,8.01624,8.93064,27.39,27.41,9.83,9.66,14.28,13.88,4.8768,2011,19,may,03/05/2011,29,spring,41.12638889,41.00555556,-72.56027778,-72.51611111,41.06597222,-72.53819444
20111930,0.479157424,0,0,0,0,0,0,0,0,0.87189683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071428571,0,0,0,0,0,0,0.071428571,0,0,0,0,10.3632,10.11936,27.49,27.47,9.76,9.66,14.3,13.85,4.2672,2011,19,may,03/05/2011,30,spring,41.11944444,41.03861111,-72.54583333,-72.44361111,41.07902778,-72.49472222
20111938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.632455532,0,0,0,0,0,0,0.447213595,0,0,0.632455532,0,9.81456,7.22376,0,0,0,0,0,0,4.2672,2011,19,may,02/05/2011,38,spring,41.11194444,40.99222222,-72.56,-72.64333333,41.05208333,-72.60166667
20111941,0,0,0,0,0,0,0,0,0.25819889,0.365148372,0,0,0,0,0,0,0,0,0,0,0,0,0.365148372,0,0,0,0,0,0,0.447213595,0,0,0,0,0,0,0.516397779,0,0.25819889,0.365148372,0,5.12064,9.72312,27.3,27.32,9.65,9.55,14.12,14.05,3.9624,2011,19,may,03/05/2011,41,spring,41.09972222,41.23166667,-72.53083333,-72.60527778,41.16569444,-72.56805556
20111943,0,0,0,0,0,0,0.029974532,0,0,0.999101123,0,0,0,0,0,0,0,0,0,0,0,0,0.029974532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.46176,5.7912,0,0,0,0,0,0,5.7912,2011,19,may,02/05/2011,43,spring,41.0825,41.055,-72.65694444,-72.73805556,41.06875,-72.6975
20111949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242535625,0,0,0,0,0,0,0,0,0,0.907485213,0,0.242535625,0.242535625,0,5.97408,8.2296,27.16,27.3,9.53,9.51,14.11,14.05,4.8768,2011,19,may,03/05/2011,49,spring,41.0875,41.18527778,-72.56222222,-72.44222222,41.13638889,-72.50222222
20111950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242535625,0,0,0.48507125,0,0,0,0,0,0,0.766964989,0,0,0.34299717,0,6.7056,7.62,27.25,27.3,9.62,9.56,14.12,14.06,4.2672,2011,19,may,03/05/2011,50,spring,41.08944444,41.2075,-72.54305556,-72.46083333,41.14847222,-72.50194444
20111952,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.66344,6.7056,0,0,0,0,0,0,5.1816,2011,19,may,02/05/2011,52,spring,41.07527778,41.10444444,-72.67722222,-72.77666667,41.08986111,-72.72694444
20111960,0,0,0,0,0,0,0,0,0,0.985184366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171498585,0,0,0,0,2.95656,3.56616,0,0,0,0,0,0,3.3528,2011,19,may,02/05/2011,60,spring,41.05277778,40.96361111,-72.725,-72.58944444,41.00819444,-72.65722222
20111963,0,0,0,0,0,0,0,0,0.059549133,0.980302457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188310894,0,0,0,0,5.36448,6.03504,0,0,0,0,0,0,4.572,2011,19,may,02/05/2011,63,spring,41.05305556,41.12055556,-72.68166667,-72.58916667,41.08680556,-72.63541667
20111971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4384,4.54152,0,0,0,0,0,0,3.048,2011,19,may,02/05/2011,71,spring,41.13583333,41.01138889,-72.59666667,-72.66388889,41.07361111,-72.63027778
