ID,Year,Week,DATE,STATION,ST_DEPTH,END_DEPTH,SURF_SAL,BOT_SAL,SURF_DO,BOT_DO,SURF_DO100,BOT_DO100,SURF_TMP,BOT_TMP,SECCHI,COMMENTS
19872036,1987,20,12/05/1987,36,4.2672,3.048,17.5,20.5,,8.7,,,16,14.5,2.1336,
19872055,1987,20,12/05/1987,55,6.7056,7.0104,20,21.5,,8.5,,,14,13.5,2.4384,
1987206,1987,20,13/05/1987,6,6.4008,6.096,20,20.5,,8.7,,,13.5,13.9,2.7432,
19872015,1987,20,13/05/1987,15,4.572,4.2672,20.5,21,,9.1,,,13.5,13.5,3.048,
19872033,1987,20,13/05/1987,33,1.524,1.8288,20,21,,9.2,,,14,14,2.4384,
19872019,1987,20,14/05/1987,19,4.572,3.6576,21.8,19.8,,8.2,,,14,13.8,2.5908,
19872020,1987,20,14/05/1987,20,5.4864,5.4864,22,21,,8,,,13.5,14,2.7432,
19872029,1987,20,14/05/1987,29,8.5344,7.62,22.6,20,,7.7,,,14.1,14,2.4384,
19872040,1987,20,14/05/1987,40,7.62,9.144,22.5,22,,8,,,14.5,14,3.3528,
19872060,1987,20,14/05/1987,60,2.4384,3.6576,21,22,,9.2,,,16,16,,
19872134,1987,21,21/05/1987,34,3.048,3.048,20.5,20.5,,7.9,,,16.5,15,1.524,
19872144,1987,21,21/05/1987,44,6.096,6.096,21,21.5,,7.7,,,17,15,1.524,
19872146,1987,21,21/05/1987,46,3.048,3.048,21,21,,7.7,,,16,15,1.6764,
19872156,1987,21,21/05/1987,56,6.096,0,21,21.5,,7.7,,,16,15,1.3716,
19872166,1987,21,21/05/1987,66,7.0104,6.7056,21,18.5,,7.5,,,15,14,1.3716,
19872170,1987,21,21/05/1987,70,3.048,1.8288,20,21.5,,,,,16.5,14,1.6764,
19872362,1987,23,01/06/1987,62,3.6576,3.3528,21.5,20.5,,6.8,,,20.5,18.5,1.8288,
19872365,1987,23,01/06/1987,65,7.3152,7.0104,23,18.5,,8.2,,,22,18,2.286,
19872366,1987,23,01/06/1987,66,7.3152,7.3152,24.7,19,,7.1,,,17.5,22,2.5908,
19872372,1987,23,01/06/1987,72,5.7912,5.4864,22,17.5,,7.2,,,21,18,2.286,
19872373,1987,23,01/06/1987,73,7.0104,6.7056,22,21,,6.7,,,21,17.5,2.1336,
19872377,1987,23,01/06/1987,77,3.048,3.9624,21.4,21.5,,7.2,,,22,18.5,1.9812,
1987233,1987,23,02/06/1987,3,8.5344,5.1816,23,22.5,,8.3,,,19,18,1.9812,
19872317,1987,23,02/06/1987,17,6.4008,6.096,22.5,22,,7.3,,,19.5,18.5,1.8288,
19872330,1987,23,02/06/1987,30,6.7056,3.3528,22,22.5,,7,,,21,19,1.3716,
19872338,1987,23,02/06/1987,38,8.5344,7.3152,23,22,,7.4,,,20,20,1.8288,
19872340,1987,23,02/06/1987,40,9.4488,8.8392,23,22.5,,7.6,,,20,18.5,1.8288,
19872348,1987,23,02/06/1987,48,3.9624,5.7912,22.5,22,,7.4,,,20,20,1.524,
19872325,1987,23,03/06/1987,25,0.9144,0.6096,25.5,25,,7.3,,,20,20,1.8288,
19872327,1987,23,03/06/1987,27,3.048,2.7432,25,23.5,,7.2,,,20,19.5,1.524,
19872337,1987,23,03/06/1987,37,4.572,4.8768,25.5,24,,7.3,,,19,19,1.6764,
