id,anchovy,bluecrab,bluefish,butter,calico,clearnosesk,cunner,dog,fluke,herring,hog,horse,jack,king,littlesk,lizard,mantis,menhaden,naked,pipe,puffer,robin,sand,scad,scup,seabass,seagoby,silverside,smallfl,spider,spot,spothake,squid,strrobin,tautog,toad,tomcod,weak,window,winterfl,wintersk,Grand Total
19872015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,12
19872019,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,1,,,1,10,,15
19872020,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,1,,4
19872029,189,,,,,,,,,20,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,211
19872033,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,3
19872036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
19872040,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,,134
19872055,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,,9
1987206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,3
19872060,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
19872134,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,2
19872144,,,,,,,,,,22,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,8,,32
19872146,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,6,,7
19872156,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,6
19872166,,,,,,,,,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,20
19872170,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,40
19872317,,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,112
19872325,,,,,6,,,,1,,,3,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,5,,17
19872327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,6,,,21,,33
1987233,,,,,2,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,1,69,,76
19872330,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,17
19872337,8,,,,1,,,13,1,2,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,9,,37
19872338,19,,,,,,,3,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,44
19872340,1,,,,,,,,,4,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,17,,25
19872343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,13,,14
